Id,Neighborhood,OverallQual,GrLivArea,YearBuilt,Bedrooms,FullBath,GarageCars,LotArea,SalePrice,LotFrontage
893,Gilbert,7,2307,1943,2,2,1,17682,268600,70.0
894,NoRidge,8,2531,1945,5,4,4,17856,368400,58.0
895,Edwards,5,2181,2010,2,2,2,9212,228300,95.0
896,IDOTRR,5,1472,1930,4,1,3,16511,145500,
897,Gilbert,5,1482,1959,3,2,2,10711,259700,60.0
898,Timber,7,2320,1960,5,1,2,10997,308500,67.0
899,Timber,9,2495,1969,6,3,2,13397,306200,
900,CollgCr,6,1319,1938,1,3,3,14546,235000,90.0
901,CollgCr,6,2111,1983,4,2,3,15113,245100,45.0
902,Gilbert,7,1511,1984,2,2,1,11128,244000,55.0
903,StoneBr,9,2189,1942,4,3,3,16309,357200,80.0
904,CollgCr,6,2453,1961,4,1,2,14395,252600,78.0
905,BrDale,1,1718,1906,4,1,0,10430,149200,47.0
906,OldTown,5,1374,1926,2,2,2,9269,206100,86.0
907,CollgCr,3,1324,2010,4,1,1,13083,224100,
908,Somerst,8,2354,1967,3,2,2,13419,300200,99.0
909,Gilbert,6,2603,1976,5,1,1,9391,278600,82.0
910,Gilbert,7,1987,2005,3,3,2,15939,271400,45.0
911,Edwards,3,1273,1980,2,2,1,9865,151100,58.0
912,IDOTRR,2,1802,1987,5,2,1,18176,150400,58.0
913,IDOTRR,4,1488,1978,3,2,3,7065,172400,
914,BrDale,4,1872,1954,5,2,2,12111,186600,66.0
915,BrDale,4,1102,1969,4,1,3,8754,168400,
916,BrDale,4,1560,1931,3,2,2,8706,173000,39.0
917,NoRidge,10,2119,2010,4,3,2,11534,355400,82.0
918,Somerst,7,1790,1931,4,2,3,18776,292400,
919,Gilbert,7,2453,2005,5,3,2,14407,284900,72.0
920,OldTown,6,1962,1998,4,2,2,10153,266500,76.0
921,NoRidge,10,2588,1936,4,4,3,7775,380700,56.0
922,BrkSide,4,1357,1980,3,3,1,5689,183700,74.0
923,OldTown,2,1182,2010,3,2,2,9486,219800,
924,OldTown,4,1725,1964,4,1,2,10232,195300,96.0
925,Timber,7,2504,1949,4,1,3,13223,306200,64.0
926,Gilbert,4,701,2004,2,2,2,2449,193800,58.0
927,Somerst,6,1688,1968,3,2,3,12055,303800,21.0
928,BrkSide,4,1675,1915,3,1,2,15947,159200,94.0
929,OldTown,6,1945,1929,2,3,1,18569,210400,87.0
930,Edwards,5,1941,1977,3,1,3,6251,206200,58.0
931,Gilbert,6,2073,1958,5,2,1,10341,249300,39.0
932,NWAmes,6,1873,1931,3,3,1,9756,216600,45.0
933,NWAmes,6,1795,1995,4,2,2,13100,280800,80.0
934,Edwards,5,1714,1915,1,2,3,8158,192200,68.0
935,BrkSide,3,1842,1926,4,2,2,18571,156900,85.0
936,Veenker,4,1363,1964,3,2,2,11878,275500,72.0
937,MeadowV,4,1598,1904,3,3,0,11764,140400,91.0
938,Somerst,7,2224,1954,4,3,2,19022,297800,78.0
939,IDOTRR,6,2526,2000,4,2,1,13995,231900,
940,NoRidge,10,2594,2010,2,2,3,15589,409700,24.0
941,Gilbert,8,2675,2003,5,2,1,11722,254200,43.0
942,BrkSide,3,1871,1937,4,2,1,7945,189100,62.0
943,Timber,6,1957,1919,3,1,2,10777,271900,94.0
944,NWAmes,6,1906,1997,3,2,3,20466,259200,111.0
945,CollgCr,9,2404,1950,3,3,2,16023,295100,
946,Gilbert,7,2070,1990,4,3,3,14100,247400,57.0
947,Edwards,6,2278,1915,5,2,2,10138,219400,27.0
948,BrkSide,4,1700,1975,4,1,2,15589,167000,
949,IDOTRR,3,1522,1964,2,2,1,7292,153000,58.0
950,NWAmes,7,1766,2009,4,3,3,7047,274100,135.0
951,CollgCr,5,1461,1920,3,2,2,9965,252600,54.0
952,Gilbert,5,2550,1952,5,3,2,20940,247300,116.0
953,Gilbert,5,1737,2010,4,2,2,19116,275800,86.0
954,Somerst,8,2068,1954,1,3,2,11556,312400,47.0
955,MeadowV,4,2120,1972,4,2,2,10880,178600,
956,IDOTRR,1,1178,1917,2,1,1,5614,104100,87.0
957,BrkSide,5,2002,1982,3,3,1,13277,178300,
958,CollgCr,5,1751,1939,3,2,2,13069,249700,88.0
959,CollgCr,6,1868,1971,4,3,2,115000,248600,
960,CollgCr,6,1920,2005,2,2,3,16027,296000,83.0
961,OldTown,4,1136,1974,4,2,1,10581,159900,70.0
962,CollgCr,7,2129,1961,4,2,1,15204,254100,44.0
963,Somerst,4,1723,1932,3,1,1,9993,249000,68.0
964,Somerst,6,2627,1949,3,3,3,16133,286800,
965,BrDale,5,1830,1993,3,2,3,10884,201100,29.0
966,CollgCr,5,983,1932,4,1,1,12574,234800,74.0
967,BrDale,2,1227,1972,2,2,2,12778,153400,68.0
968,Somerst,7,3118,1965,5,1,3,15476,325900,41.0
969,OldTown,6,2283,1937,4,2,1,16346,217300,63.0
970,Veenker,6,1696,1991,3,3,0,6895,242600,63.0
971,Gilbert,3,1646,1947,2,2,1,8564,221900,
972,NridgHt,9,2260,1952,4,3,3,12574,380000,75.0
973,Somerst,4,1146,1970,3,1,3,6240,261500,93.0
974,MeadowV,4,1498,1983,2,2,1,10571,176800,67.0
975,Gilbert,5,1832,2003,4,2,3,11352,252500,29.0
976,OldTown,3,784,1971,3,2,0,15151,167300,85.0
977,CollgCr,5,1397,1981,3,3,2,12292,237200,
978,NWAmes,5,1803,1994,4,2,2,16209,253100,63.0
979,OldTown,4,1477,1931,1,2,2,13009,173300,47.0
980,Timber,7,2298,1939,4,2,3,11721,308200,72.0
981,BrDale,4,1194,1953,4,2,2,11856,156200,93.0
982,BrkSide,6,2229,1971,5,1,1,16010,246300,
983,Edwards,5,1385,1973,3,1,2,15946,229700,
984,CollgCr,5,2374,1925,4,1,2,13284,275500,108.0
985,Somerst,5,1199,1997,2,3,1,5631,277500,25.0
986,MeadowV,2,877,1940,2,1,0,4741,92100,44.0
987,NWAmes,6,2126,2004,4,2,3,12109,246900,30.0
988,StoneBr,7,2742,1999,4,2,2,6301,364800,84.0
989,NWAmes,3,1550,2010,4,1,1,18382,224200,55.0
990,BrkSide,4,1817,1971,5,2,2,14723,190600,
991,OldTown,3,1446,1960,3,1,2,9667,145700,65.0
992,Edwards,6,1620,1922,2,2,2,8356,219500,78.0
993,BrkSide,2,1088,1945,2,1,0,14774,181800,
994,Veenker,5,1375,2007,4,2,3,7852,297100,42.0
995,MeadowV,5,1352,1942,3,2,3,8140,192000,70.0
996,CollgCr,7,2300,1914,5,1,2,10919,275700,
997,OldTown,4,1226,1928,3,1,1,11851,151200,69.0
998,NridgHt,7,2271,1986,5,2,2,15714,363900,53.0
999,BrDale,5,1344,1969,3,2,1,15862,211000,23.0
1000,Gilbert,3,1543,2010,3,2,2,15743,221900,91.0
1001,StoneBr,6,1808,2010,3,1,1,12618,325200,54.0
1002,CollgCr,5,2292,1967,3,2,2,17155,284900,
1003,Somerst,8,2453,1972,6,3,2,11557,330500,32.0
1004,Somerst,6,2412,2000,4,3,1,7450,277000,38.0
1005,OldTown,5,1535,1907,4,2,3,9721,184500,49.0
1006,NWAmes,7,2179,1973,3,3,2,10536,262400,65.0
1007,MeadowV,7,1816,1952,3,2,2,10420,199500,43.0
1008,Gilbert,5,1655,1994,3,2,0,8952,254400,
1009,Edwards,5,1708,1990,4,1,1,10802,186100,65.0
1010,CollgCr,8,2085,1981,3,1,3,15340,310300,119.0
1011,Edwards,3,1014,1974,2,2,2,17031,169000,33.0
1012,OldTown,6,1485,1978,3,2,0,5931,235500,74.0
1013,CollgCr,5,981,1972,3,2,2,6454,234900,74.0
1014,BrDale,4,1250,1925,4,1,2,8729,157800,47.0
1015,NWAmes,5,2019,1939,4,3,3,15718,260100,72.0
1016,Timber,5,4600,1993,4,2,1,10762,160000,87.0
1017,Edwards,3,961,1970,3,2,0,8387,122700,72.0
1018,BrkSide,5,2426,1928,3,2,1,16360,202100,
1019,StoneBr,9,2297,2010,3,4,2,16941,371500,22.0
1020,CollgCr,6,2092,2010,3,2,3,13118,251500,51.0
1021,IDOTRR,4,1844,1968,2,1,0,9831,169600,102.0
1022,Edwards,5,2031,1927,4,1,2,14007,166000,90.0
1023,BrDale,3,907,2003,3,3,2,9997,149700,82.0
1024,CollgCr,7,2079,1935,4,3,2,12314,273600,97.0
1025,Edwards,6,1413,1949,1,2,3,10032,204600,28.0
1026,Gilbert,9,3376,2002,6,4,1,18989,313700,88.0
1027,MeadowV,4,1061,1957,2,2,1,11996,147400,
1028,NWAmes,5,1433,1934,5,1,3,15490,218400,56.0
1029,Edwards,5,1435,1910,2,2,2,16547,183700,128.0
1030,NWAmes,7,1636,1947,3,2,2,13878,252600,
1031,OldTown,4,2093,1975,2,2,1,11413,182900,22.0
1032,Edwards,4,2467,1980,4,2,2,17575,221800,78.0
1033,CollgCr,6,1813,1933,3,2,1,14255,253200,54.0
1034,IDOTRR,3,977,1917,2,1,2,20065,136400,96.0
1035,CollgCr,5,1017,1986,2,3,4,12119,286300,
1036,OldTown,5,1714,1919,4,2,2,14869,188900,57.0
1037,NWAmes,7,2049,1915,4,2,2,14114,252300,103.0
1038,NWAmes,5,1572,1961,5,2,0,11797,218600,91.0
1039,CollgCr,4,1697,1971,3,2,0,11488,213600,52.0
1040,Somerst,4,1758,1938,4,2,3,13545,269200,
1041,NoRidge,6,2093,1944,3,3,1,15010,320900,81.0
1042,Edwards,3,1329,1927,3,2,1,15698,152300,62.0
1043,OldTown,4,1234,1939,3,2,2,12548,163900,
1044,Edwards,3,1673,1903,4,2,3,10725,160200,71.0
1045,NridgHt,7,2164,1922,5,2,2,12184,316500,47.0
1046,Gilbert,5,2110,1948,5,2,2,8589,240600,
1047,Timber,6,2256,1914,3,3,2,19326,296900,
1048,BrkSide,6,1482,1937,4,2,2,10069,198200,
1049,BrkSide,5,1298,1965,3,2,1,14982,209600,48.0
1050,Gilbert,6,1715,1911,3,2,2,13397,252800,
1051,Edwards,4,1250,1969,2,1,2,12563,190400,
1052,Somerst,6,2244,1980,3,2,3,13076,327900,79.0
1053,Gilbert,6,2102,1971,5,2,2,10446,259100,
1054,Somerst,7,2544,1980,4,2,3,10698,311500,
1055,Gilbert,5,1938,1997,4,1,1,18925,247800,41.0
1056,Edwards,5,1873,1909,3,2,2,13144,223400,56.0
1057,IDOTRR,2,1679,1918,5,2,1,16296,146300,78.0
1058,Timber,7,2324,1946,5,3,2,18495,285200,69.0
1059,OldTown,5,1823,1977,3,2,2,11208,215500,88.0
1060,Edwards,4,2138,1998,4,1,2,14758,196300,91.0
1061,BrDale,6,2020,2001,4,3,4,13197,230300,64.0
1062,OldTown,3,1333,1966,3,1,2,7615,180700,29.0
1063,Gilbert,6,1686,1953,3,2,3,11722,247600,
1064,OldTown,4,1866,1947,4,2,2,14788,202900,68.0
1065,Gilbert,6,2412,1914,5,2,3,12077,237500,
1066,BrDale,4,1602,1951,2,2,1,11067,172000,47.0
1067,NWAmes,6,2437,1964,3,2,3,13267,265700,72.0
1068,Edwards,6,1290,1924,3,3,1,18970,236500,123.0
1069,NridgHt,10,2680,2005,4,3,2,7940,404200,59.0
1070,NWAmes,6,1965,1997,5,3,2,14685,251000,70.0
1071,IDOTRR,5,1545,1933,4,3,3,11203,154400,41.0
1072,OldTown,4,2454,2002,5,2,1,11665,237600,97.0
1073,CollgCr,7,2136,1920,4,1,2,12299,261900,
1074,MeadowV,3,1297,2000,3,2,2,13929,146100,88.0
1075,BrkSide,6,1989,1986,2,2,2,15513,223700,100.0
1076,Gilbert,8,1639,1932,4,3,3,12929,273600,61.0
1077,OldTown,4,1354,1973,4,1,4,15532,204500,63.0
1078,CollgCr,3,1784,1943,5,1,2,17008,230800,108.0
1079,OldTown,4,1399,1989,3,3,1,14655,185100,84.0
1080,NWAmes,7,1869,1925,3,2,1,10826,253300,21.0
1081,Gilbert,6,2438,1934,4,3,2,15606,269700,
1082,MeadowV,4,2089,1933,4,2,1,14925,181100,57.0
1083,MeadowV,5,1980,1921,2,2,2,10105,200900,90.0
1084,BrkSide,5,1640,1938,4,2,2,6786,192300,
1085,BrDale,6,1896,1966,4,1,2,5712,186300,32.0
1086,Edwards,6,1698,1971,3,2,3,12640,212200,76.0
1087,Edwards,6,1631,1962,2,2,1,13305,214900,75.0
1088,Edwards,5,1434,1922,3,2,2,7731,153500,78.0
1089,CollgCr,7,1943,1931,5,3,3,16547,237700,83.0
1090,CollgCr,5,1437,2010,5,2,2,12406,265300,103.0
1091,Gilbert,5,1252,1935,3,1,3,16227,255000,79.0
1092,OldTown,7,2236,1913,5,3,2,14768,198200,71.0
1093,Gilbert,6,2062,1957,4,2,3,9391,264100,95.0
1094,Gilbert,7,2755,1908,5,2,2,16113,268600,119.0
1095,OldTown,5,1566,1939,3,2,2,14477,186200,90.0
1096,NWAmes,5,1903,2002,3,2,2,10889,258400,75.0
1097,Veenker,6,2089,1942,3,2,3,8130,267000,80.0
1098,BrkSide,6,1891,1979,2,3,1,13133,188700,76.0
1099,BrkSide,5,2060,1955,5,2,1,9617,195700,70.0
1100,Timber,4,1891,1951,3,2,2,16705,259000,
1101,NridgHt,8,2454,1993,3,2,0,12482,346700,54.0
1102,NWAmes,8,2250,1973,3,3,3,19536,300600,
1103,BrkSide,4,1494,1937,3,1,2,4553,171500,67.0
1104,BrkSide,2,781,1926,4,1,1,11033,128500,37.0
1105,Somerst,9,2237,2010,6,2,2,18476,323300,66.0
1106,BrkSide,5,1582,1920,2,3,1,9047,179100,58.0
1107,Somerst,6,1586,2010,3,3,2,11614,291000,83.0
1108,NWAmes,5,1953,1959,3,2,1,11495,224800,72.0
1109,BrDale,5,2218,2009,5,3,1,11042,179600,48.0
1110,Timber,6,1662,1950,4,3,1,13180,260500,102.0
1111,Somerst,8,2439,1974,4,2,2,9344,310400,94.0
1112,CollgCr,6,1618,1976,3,2,2,11847,233400,
1113,OldTown,5,1693,1939,3,2,3,14191,174400,75.0
1114,MeadowV,4,1378,1923,4,1,1,11003,155000,69.0
1115,BrDale,4,1830,1957,4,2,2,9159,167900,85.0
1116,NoRidge,9,2282,1993,4,3,2,17169,350200,57.0
1117,Somerst,5,2154,1940,2,1,1,15863,283600,73.0
1118,BrkSide,3,1353,1986,3,1,0,8061,154500,66.0
1119,Gilbert,6,1752,1978,5,2,1,7974,268000,38.0
1120,IDOTRR,5,1361,1918,4,3,1,8390,161900,
1121,Edwards,5,1888,2005,2,1,2,14684,218600,60.0
1122,Somerst,7,2473,1916,4,2,3,14910,293100,65.0
1123,BrkSide,4,1715,1973,2,2,0,15195,133900,
1124,Timber,7,2943,1960,6,3,2,13744,296200,98.0
1125,CollgCr,6,2480,1980,4,2,1,10723,273300,51.0
1126,OldTown,4,1512,1987,3,3,1,15239,191600,63.0
1127,CollgCr,5,1688,1984,3,2,3,10438,223900,53.0
1128,Edwards,7,2324,1973,2,2,2,14300,234700,52.0
1129,OldTown,2,966,1994,2,2,1,5507,134800,57.0
1130,BrDale,5,2208,1977,4,2,3,11421,212900,66.0
1131,BrDale,2,1386,1989,4,2,2,15304,158500,
1132,CollgCr,6,2069,1953,2,1,1,10631,272600,
1133,NoRidge,7,2400,1943,4,2,2,16650,373900,47.0
1134,Edwards,2,1862,1927,4,2,1,4565,177800,98.0
1135,BrDale,5,1859,1967,2,3,2,10760,207600,91.0
1136,Gilbert,5,1760,1966,4,1,2,11920,236100,
1137,CollgCr,3,1968,1917,4,2,1,19034,276700,97.0
1138,CollgCr,7,2498,1931,5,2,2,9904,258300,77.0
1139,StoneBr,10,2587,2010,4,2,3,16522,387700,67.0
1140,Edwards,6,1981,1981,4,1,2,16661,235800,78.0
1141,NWAmes,6,2048,1991,4,1,3,10570,281500,
1142,BrkSide,5,1926,1923,3,2,2,11544,205300,82.0
1143,BrkSide,6,1505,1909,3,2,2,12505,202400,74.0
1144,BrkSide,6,1440,1934,3,3,3,6694,160400,63.0
1145,NWAmes,7,1849,2002,3,2,2,11105,296000,25.0
1146,Gilbert,4,1282,1963,4,1,1,16030,211800,82.0
1147,Edwards,5,1574,1988,4,2,0,13977,213800,
1148,BrkSide,5,2022,1955,3,2,2,12495,168400,87.0
1149,CollgCr,4,1560,1962,3,2,1,12515,235200,81.0
1150,IDOTRR,5,1868,1966,5,2,2,14769,179000,
1151,Somerst,9,2091,2010,3,3,1,15885,319400,93.0
1152,IDOTRR,5,1638,1948,3,2,1,10328,180200,75.0
1153,NoRidge,10,2905,1986,4,2,3,20181,412200,
1154,Somerst,6,2188,2010,4,2,1,17983,268800,67.0
1155,OldTown,4,1366,1942,2,2,2,14102,176800,
1156,NoRidge,8,2396,2010,5,3,2,10841,371400,
1157,StoneBr,7,2929,1978,4,2,2,11287,381000,63.0
1158,NridgHt,7,2153,2010,5,3,3,12162,386400,43.0
1159,CollgCr,7,1917,1960,3,4,3,13046,276900,86.0
1160,BrkSide,6,1919,1971,3,2,2,6648,190000,57.0
1161,NridgHt,7,2192,1956,5,3,2,15115,356900,
1162,OldTown,6,1927,1971,4,3,2,17360,261700,59.0
1163,BrkSide,4,1609,1937,4,1,2,14235,211800,71.0
1164,Timber,7,1654,1979,4,2,1,9941,225500,
1165,Somerst,7,1823,1998,3,2,2,9865,289600,21.0
1166,IDOTRR,5,1747,1947,3,2,2,13543,199200,80.0
1167,BrkSide,5,1742,1949,3,2,2,11947,192800,
1168,OldTown,6,1781,1937,4,2,1,14112,191200,89.0
1169,BrkSide,5,1738,1982,3,2,1,14582,192100,104.0
1170,NoRidge,9,2541,1986,5,3,3,17903,397300,
1171,NWAmes,5,2111,1964,4,2,3,9259,236200,
1172,Edwards,7,2125,1904,4,2,1,14025,234100,69.0
1173,Gilbert,6,2119,1920,4,1,2,11965,251200,105.0
1174,Edwards,5,1610,1902,3,2,3,11874,175100,60.0
1175,CollgCr,4,1820,2002,3,1,2,15665,270300,21.0
1176,Edwards,4,1751,1995,3,2,1,15907,166800,
1177,CollgCr,7,2463,1916,5,3,2,18820,266600,108.0
1178,NWAmes,6,2229,1913,3,2,2,14947,243700,82.0
1179,Veenker,4,1826,1998,3,1,2,12266,310600,59.0
1180,Veenker,8,2305,1970,4,3,2,12724,300100,77.0
1181,Edwards,4,1705,1935,4,2,2,6338,148800,
1182,Somerst,8,2712,1979,4,2,2,19113,307400,68.0
1183,NoRidge,8,2111,1947,5,3,3,12095,368500,128.0
1184,Timber,7,1940,1933,3,3,2,14650,297900,59.0
1185,Timber,8,2403,1952,4,3,2,16182,349100,
1186,BrkSide,3,1585,2000,3,1,2,7811,210200,87.0
1187,NWAmes,4,1331,1992,2,3,3,8430,235500,55.0
1188,BrDale,4,1593,1920,2,2,1,17600,147200,
1189,Somerst,7,2127,1973,3,3,3,14270,326700,92.0
1190,OldTown,3,664,1999,3,1,1,8295,148800,73.0
1191,CollgCr,4,1543,2010,3,2,2,11643,231900,77.0
1192,NWAmes,7,2104,1991,3,1,3,17009,270000,34.0
1193,IDOTRR,3,1383,1914,4,1,1,15036,122700,84.0
1194,BrDale,4,2115,1926,5,2,3,8098,180500,76.0
1195,IDOTRR,2,834,1924,4,1,2,16387,124500,69.0
1196,Timber,6,1691,1928,3,3,1,15763,276000,78.0
1197,Veenker,6,1065,1932,2,2,2,10596,247800,61.0
1198,OldTown,6,1811,1936,5,2,3,8450,187400,57.0
1199,Gilbert,5,1661,1969,4,1,2,16011,211300,65.0
1200,Edwards,7,1981,1945,3,2,1,14629,219800,60.0
1201,OldTown,4,2007,1948,4,2,2,7911,198100,118.0
1202,OldTown,4,1921,1929,4,3,2,12029,181000,90.0
1203,BrkSide,6,2007,1918,3,2,2,23955,197500,49.0
1204,Edwards,5,1670,2010,4,2,3,12397,220100,115.0
1205,NridgHt,7,2519,1986,5,2,2,11441,394500,60.0
1206,StoneBr,8,2333,1945,3,3,2,10136,343400,71.0
1207,OldTown,6,1693,1991,3,3,3,18588,218400,
1208,CollgCr,8,1739,2000,3,3,2,15445,296700,27.0
1209,Gilbert,5,1645,2010,3,1,3,17216,238100,
1210,CollgCr,6,2244,1926,3,1,1,14356,259000,
1211,Edwards,5,2596,1972,5,2,2,18581,226500,75.0
1212,BrkSide,3,1461,2009,3,2,2,8952,159400,78.0
1213,OldTown,4,1352,1990,3,1,3,12273,194100,68.0
1214,NWAmes,6,1565,1932,3,2,1,13134,234400,67.0
1215,Gilbert,7,2353,2006,3,3,2,18544,292200,93.0
1216,CollgCr,7,1542,1955,4,2,3,13199,241500,77.0
1217,Gilbert,5,1992,1961,5,3,1,10794,243200,71.0
1218,OldTown,4,1906,1963,4,2,1,13036,216600,73.0
1219,Edwards,5,1952,1986,3,1,2,7036,249000,110.0
1220,NoRidge,7,2083,1934,4,2,2,5042,367200,74.0
1221,NridgHt,9,2717,1980,3,3,1,17343,363800,59.0
1222,Veenker,6,2039,2002,4,2,1,11766,297800,28.0
1223,IDOTRR,3,1167,1960,5,1,2,10419,143800,38.0
1224,OldTown,3,2087,1932,4,3,0,16082,183300,60.0
1225,Timber,8,2216,1918,4,2,2,18321,282900,68.0
1226,IDOTRR,4,1891,1960,4,2,1,14652,144900,58.0
1227,CollgCr,8,1493,1986,5,2,3,18734,268800,
1228,CollgCr,5,2246,1969,5,2,3,15251,282100,57.0
1229,MeadowV,4,2134,2007,2,2,1,14325,193200,50.0
1230,StoneBr,10,2710,1986,5,3,3,15261,403600,83.0
1231,Veenker,5,1995,1968,6,2,1,8490,278200,
1232,OldTown,2,1455,1908,4,1,1,15255,160500,46.0
1233,Timber,8,2115,1973,3,3,4,4670,323400,75.0
1234,Edwards,4,1811,1920,4,1,1,10570,177900,28.0
1235,Veenker,6,1696,1992,2,2,2,12472,284800,38.0
1236,NoRidge,7,1946,1938,5,3,2,10127,372500,57.0
1237,Veenker,7,2554,2010,3,3,3,12526,326100,95.0
1238,CollgCr,5,2141,1942,4,1,0,19719,247000,53.0
1239,Timber,6,1732,1959,3,1,2,16328,276500,52.0
1240,Somerst,7,1903,1927,3,2,2,10405,274000,71.0
1241,BrkSide,3,1214,1925,4,2,1,9784,148200,71.0
1242,Gilbert,5,2056,2009,4,1,2,8642,262200,53.0
1243,NWAmes,5,1450,1939,3,2,3,14367,224800,114.0
1244,StoneBr,6,2104,1976,3,2,1,12333,333000,
1245,NWAmes,5,2061,2010,2,2,3,6239,249500,72.0
1246,Gilbert,6,1949,1976,3,3,1,13250,254400,61.0
1247,OldTown,4,1973,1906,4,2,3,14482,203800,80.0
1248,Veenker,6,1873,1952,4,2,2,16116,277200,97.0
1249,IDOTRR,4,1545,1942,3,1,1,11833,126700,107.0
1250,MeadowV,3,1097,1930,4,2,1,9889,147700,53.0
1251,NoRidge,9,2876,1947,4,2,2,21703,386900,94.0
1252,Somerst,8,2071,1967,4,2,2,13165,279900,82.0
1253,Somerst,6,2102,1953,3,2,1,15722,289100,91.0
1254,OldTown,5,1775,1934,4,3,2,10661,170600,68.0
1255,Somerst,6,1611,1957,5,2,1,14636,280900,66.0
1256,BrkSide,5,1586,1939,2,2,1,7077,183900,
1257,Edwards,6,2464,1927,4,1,1,12310,177500,91.0
1258,BrkSide,5,1870,1951,5,2,1,8511,198200,104.0
1259,CollgCr,4,1266,2010,2,2,1,9414,223700,74.0
1260,BrDale,5,1906,1955,4,3,2,17188,181200,68.0
1261,StoneBr,9,2468,1985,5,2,3,11792,368100,21.0
1262,NWAmes,5,3008,2010,5,2,3,17529,288000,35.0
1263,Gilbert,7,2259,1975,4,3,1,18828,260300,61.0
1264,MeadowV,3,1306,1924,4,2,2,11515,113500,46.0
1265,OldTown,3,1937,1945,5,1,2,16352,209200,88.0
1266,BrkSide,5,1155,1955,3,4,2,13168,176300,41.0
1267,Timber,4,1653,1964,3,1,2,12713,244100,59.0
1268,BrDale,4,2318,1916,3,2,2,16262,167500,60.0
1269,CollgCr,7,2119,1920,5,3,2,19677,281600,97.0
1270,CollgCr,4,1013,1947,2,2,1,8795,189200,
1271,BrDale,3,1301,2000,3,1,2,8244,168800,80.0
1272,NWAmes,4,2129,1986,4,2,0,9695,227800,74.0
1273,NWAmes,6,2111,2000,3,2,3,16702,261900,90.0
1274,OldTown,4,1326,1921,3,1,2,15604,153000,89.0
1275,Somerst,8,2100,1957,6,4,2,11320,285600,69.0
1276,Gilbert,7,1964,1971,4,2,2,5451,265200,
1277,Timber,7,2286,1959,4,3,2,11210,302400,65.0
1278,Somerst,6,2448,1957,5,2,3,15813,281400,70.0
1279,IDOTRR,5,2168,1939,4,2,4,13102,201100,
1280,OldTown,3,1599,1907,4,1,2,12829,186000,
1281,NWAmes,7,1693,2002,4,1,2,10554,233100,95.0
1282,NWAmes,4,1155,2010,3,2,2,14859,225300,70.0
1283,CollgCr,7,2346,1917,3,2,3,14893,261400,50.0
1284,OldTown,6,1509,1947,2,3,1,14070,174800,60.0
1285,MeadowV,4,1541,1956,2,1,1,12638,166900,112.0
1286,MeadowV,4,1726,1986,4,1,2,14287,168000,85.0
1287,NWAmes,6,1581,2010,2,2,3,13767,236400,
1288,NWAmes,2,901,1953,4,2,0,7553,205900,47.0
1289,CollgCr,6,1947,1991,4,2,1,14199,279200,55.0
1290,OldTown,4,1796,2005,3,2,2,15362,166400,55.0
1291,CollgCr,6,2351,2000,3,3,2,17744,254000,74.0
1292,Edwards,5,2012,1933,4,2,3,14480,219500,66.0
1293,OldTown,4,1645,1991,3,1,1,8911,184300,59.0
1294,Gilbert,4,1358,1953,2,1,3,8876,252800,62.0
1295,NWAmes,5,1425,1909,4,3,1,10326,228900,
1296,NWAmes,6,1801,1991,4,1,1,13265,256400,66.0
1297,NoRidge,8,2483,2010,4,3,2,13538,358700,94.0
1298,Timber,7,2277,1949,4,2,1,9620,299900,37.0
1299,Edwards,6,1245,1951,3,2,2,7535,170600,78.0
1300,NWAmes,4,1345,1948,3,2,2,4345,243000,100.0
1301,Veenker,7,2581,1925,3,2,2,3243,311600,66.0
1302,OldTown,6,2007,2010,5,2,1,12552,204100,
1303,Edwards,2,764,1904,2,2,2,18648,154100,90.0
1304,Gilbert,6,2804,1969,6,2,2,20896,320500,48.0
1305,BrkSide,4,1609,1903,3,1,2,8794,172200,70.0
1306,MeadowV,4,1754,1975,4,2,2,13032,186500,47.0
1307,OldTown,3,1579,2001,4,1,1,7031,173600,29.0
1308,Edwards,4,1491,1972,4,2,0,7389,179700,67.0
1309,StoneBr,10,2445,1986,3,4,3,9698,361800,42.0
1310,MeadowV,2,2002,1991,5,1,0,12214,160400,70.0
1311,NWAmes,4,1971,2010,5,2,1,12303,244000,95.0
1312,MeadowV,2,1547,1994,3,1,2,12978,190600,111.0
1313,OldTown,7,2361,1927,4,3,1,16043,189700,
1314,NridgHt,7,1808,1982,3,2,3,11436,348800,
1315,StoneBr,8,2787,2010,4,3,2,14700,405000,79.0
1316,Edwards,4,1324,1934,4,2,2,7819,172300,
1317,OldTown,3,1539,1976,2,1,1,7372,172700,28.0
1318,NridgHt,8,1766,1923,3,3,3,7285,335100,106.0
1319,Edwards,7,1445,1998,4,2,2,14162,198800,47.0
1320,BrkSide,6,2091,1969,4,3,2,11999,184600,
1321,CollgCr,5,1516,1990,5,3,2,5483,236100,
1322,CollgCr,7,1463,1999,3,3,1,11705,240700,49.0
1323,NridgHt,7,2349,1945,4,3,1,9327,354500,77.0
1324,BrkSide,2,2002,1951,3,2,1,18815,160600,117.0
1325,NWAmes,7,2646,2002,4,2,2,12266,281100,
1326,IDOTRR,5,1709,1918,2,1,2,14803,168000,59.0
1327,NWAmes,7,2163,1998,4,3,3,17137,279600,
1328,OldTown,4,1930,1933,4,2,1,9517,177500,72.0
1329,Gilbert,5,2192,1971,4,2,2,13650,236300,
1330,Somerst,7,2039,1968,3,2,2,15015,290600,96.0
1331,BrkSide,5,1811,1977,3,1,1,13026,217300,86.0
